Bloque,Algoritmo,Paralelizacion,Repeticion,ErrorAbsoluto,Theorical_min,Min_Found
rosenbrock,PSO,No,3,3.37617,0,3.37617
rosenbrock,SGA,Paralela,1,0.095462,0,0.095462
lennard_jones,SGA,Paralela,3,0.856317,-9.10385,-8.24754
lennard_jones,PSO,No,7,7.13045,-9.10385,-1.9734
rastrigin,SGA,Paralela,8,0.00382356,0,0.00382356
griewank,SGA,No,3,0.157367,0,0.157367
rastrigin,SGA,Paralela,10,0.000111426,0,0.000111426
rastrigin,PSO,Paralela,1,0,0,0
lennard_jones,PSO,No,4,7.0167,-9.10385,-2.08716
rastrigin,SGA,Paralela,2,2.90358e-05,0,2.90358e-05
lennard_jones,SGA,Paralela,6,0.0495109,-9.10385,-9.05434
rosenbrock,PSO,Paralela,1,1.92504e-11,0,1.92504e-11
rosenbrock,PSO,Paralela,4,1.1606e-10,0,1.1606e-10
rosenbrock,SGA,Paralela,3,0.419579,0,0.419579
ackley,PSO,Paralela,6,4.44089e-16,0,4.44089e-16
lennard_jones,PSO,Paralela,3,6.77424e-05,-9.10385,-9.10378
lennard_jones,PSO,Paralela,9,4.36617e-05,-9.10385,-9.10381
ackley,PSO,Paralela,8,4.44089e-16,0,4.44089e-16
rosenbrock,SGA,Paralela,4,0.0110681,0,0.0110681
rosenbrock,PSO,No,6,6.48232,0,6.48232
rastrigin,SGA,No,4,0.0223291,0,0.0223291
ackley,PSO,Paralela,10,4.44089e-16,0,4.44089e-16
lennard_jones,SGA,No,5,6.81105,-9.10385,-2.2928
ackley,PSO,Paralela,2,4.44089e-16,0,4.44089e-16
lennard_jones,PSO,No,3,6.64302,-9.10385,-2.46083
rastrigin,SGA,No,2,0.0363227,0,0.0363227
griewank,PSO,No,9,0.123656,0,0.123656
rosenbrock,SGA,No,5,3.21446,0,3.21446
rastrigin,PSO,No,6,0.0550741,0,0.0550741
rastrigin,PSO,No,4,0.107542,0,0.107542
rastrigin,PSO,No,2,0.758702,0,0.758702
ackley,PSO,No,3,4.12926,0,4.12926
ackley,SGA,Paralela,2,0.00563547,0,0.00563547
rosenbrock,SGA,No,4,22.0842,0,22.0842
rastrigin,SGA,No,9,0.0168537,0,0.0168537
ackley,SGA,No,10,0.00323486,0,0.00323486
ackley,SGA,No,4,1.94483,0,1.94483
rastrigin,SGA,No,1,0.226248,0,0.226248
rosenbrock,SGA,No,1,2.76654,0,2.76654
lennard_jones,SGA,No,2,7.70356,-9.10385,-1.40029
griewank,PSO,No,1,1.27132,0,1.27132
lennard_jones,PSO,Paralela,6,2.25357e-05,-9.10385,-9.10383
ackley,PSO,No,8,0.394716,0,0.394716
lennard_jones,PSO,No,9,7.26622,-9.10385,-1.83763
griewank,PSO,Paralela,4,0,0,0
